,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,, ?????????? ????????????  , ?????????? ????????????  , ?????????? ????????????  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,A,,,A1,,B,C1,C2,C3,D1 = B +C1,D2 = B +C2,D3 = B +C3,E1,E2,E3,F = E2 - D2,G=F/D2,H1,H2,H3,I1,I2,I3,,,,,,,,,,,,,,,,,,,,
,,,,???????? (?.?.-?.?.2025),????????????? (?.?.-?.?.2026),,,???????? Revise (?.?.-?.?.2026),,,???????? (?.?-?.?.2026),???????? (?.?-?.?.2026),,,???????? + ???????? (?.?.-?.?.2026),,,???????? (?.?.-?.?.2027),,,?????? ,%Growth,???????? (?.?.-?.?.2028),,,???????? (?.?.-?.?.2029),,,,,,,,,,,,,,,,,,,,,,
 Note , ????? , ????????? ,?????,2568,2569,2569,2569,2569,2569,2569,2569,2569,2569,2569,2569,2569,2569,2570,2570,2570, (?????) - ??,,2571,2571,2571,2572,2572,2572,????????,,,,,,,,,,,,,,,,,,,
,,,,Realistic,Optimistic,Realistic,Pessimistic,Optimistic,Realistic,Pessimistic,Realistic,Optimistic,Realistic,Pessimistic,Optimistic,Realistic,Pessimistic,Optimistic,Realistic,Pessimistic,,,Optimistic,Realistic,Pessimistic,Optimistic,Realistic,Pessimistic,,,,,,,,,,,,,,,,,,,,
,4.2,????????? - ??????????,???, -   ," 4,981 "," 4,841 "," 4,701 "," 4,981 "," 4,841 "," 4,701 "," 5,015 ", -   , -   , -   ," 5,015 "," 5,015 "," 5,015 ", -   , -   , -   ,"(5,015)",(100)%, -   , -   , -   , -   , -   , -   ,,,,,,,,,,,,,,,,,,,,
,4.3,????????? - % ??????,%,0%,96%,96%,96%,96%,96%,96%,92%,0%,0%,0%,92%,92%,92%,0%,0%,0%,(92%),(100)%,0%,0%,0%,0%,0%,0%,,,,,,,,,,,,,,,,,,,,
,4.4,????????? - % ??????????,%,0%,4%,4%,4%,4%,4%,4%,8%,0%,0%,0%,8%,8%,8%,0%,0%,0%,(8%),(100)%,0%,0%,0%,0%,0%,0%,,,,,,,,,,,,,,,,,,,,
,4.5,????????? - ????????,???, -   ," 116,256 "," 113,456 "," 110,656 "," 116,256 "," 113,456 "," 110,656 "," 62,116 ", -   , -   , -   ," 62,116 "," 62,116 "," 62,116 ", -   , -   , -   ,"(62,116)",(100)%, -   , -   , -   , -   , -   , -   ,,,,,,,,,,,,,,,,,,,,
,4.6,????????? - ??????            ????     ,???, -   ," 111,275 "," 108,615 "," 105,955 "," 111,275 "," 108,615 "," 105,955 "," 57,102 ", -   ,,," 57,102 "," 57,102 "," 57,102 ",,,,"(57,102)",(100)%,,,,,,,????????,,,,,,,,,,,,,,,,,,,
,4.7,????????? - ??????????    ???? ,???, -   ," 4,981 "," 4,841 "," 4,701 "," 4,981 "," 4,841 "," 4,701 "," 5,015 ", -   ,,," 5,015 "," 5,015 "," 5,015 ",,,,"(5,015)",(100)%,,,,,,,????????,,,,,,,,,,,,,,,,,,,
,4.8,????????? - % ??????        ????,%,0%,96%,96%,96%,96%,96%,96%,92%,0%,0%,0%,92%,92%,92%,0%,0%,0%,(92%),(100)%,0%,0%,0%,0%,0%,0%,,,,,,,,,,,,,,,,,,,,
,4.9,????????? - % ??????????  ????,%,0%,4%,4%,4%,4%,4%,4%,8%,0%,0%,0%,8%,8%,8%,0%,0%,0%,(8%),(100)%,0%,0%,0%,0%,0%,0%,,,,,,,,,,,,,,,,,,,,
,4.10,????????? - ???? Organic,???, -   ," 1,822 "," 1,822 "," 1,822 "," 1,822 "," 1,822 "," 1,822 "," 1,432 ", -   , -   , -   ," 1,432 "," 1,432 "," 1,432 ", -   , -   , -   ,"(1,432)",(100)%, -   , -   , -   , -   , -   , -   ,,,,,,,,,,,,,,,,,,,,
,4.11,????????? - ??????    Organic    ,???, -   ," 1,822 "," 1,822 "," 1,822 "," 1,822 "," 1,822 "," 1,822 "," 1,432 ", -   , -   , -   ," 1,432 "," 1,432 "," 1,432 ", -   , -   , -   ,"(1,432)",(100)%, -   , -   , -   , -   , -   , -   , ???????? ,,,,,,,,,,,,,,,,,,,
,4.12,????????? - ??????????      Organic   ,???, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,0%, -   , -   , -   , -   , -   , -   , ???????? ,,,,,,,,,,,,,,,,,,,
,4.13,????????? - % ??????        Organic ,%,0%,100%,100%,100%,100%,100%,100%,100%,0%,0%,0%,100%,100%,100%,0%,0%,0%,(100%),(100)%,0%,0%,0%,0%,0%,0%,,,,,,,,,,,,,,,,,,,,
,4.14,????????? - % ??????????  Organic ,%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,,,,,,,,,,,,,,,,,,,,
C,5,?????????? - ???????????,???, -   ," 669,922 "," 652,722 "," 635,522 "," 669,922 "," 652,722 "," 635,522 "," 479,375 ", -   , -   , -   ," 479,375 "," 479,375 "," 479,375 ", -   , -   , -   ,"(479,375)",(100)%, -   , -   , -   , -   , -   , -   ,,,,,,,,,,,,,,,,,,,,
,5.1,??????????? - ??????,???, -   ," 641,303 "," 624,963 "," 608,623 "," 641,303 "," 624,963 "," 608,623 "," 455,861 ", -   , -   , -   ," 455,861 "," 455,861 "," 455,861 ", -   , -   , -   ,"(455,861)",(100)%, -   , -   , -   , -   , -   , -   ,,,,,,,,,,,,,,,,,,,,
,5.2,??????????? - ??????????,???, -   ," 28,619 "," 27,759 "," 26,899 "," 28,619 "," 27,759 "," 26,899 "," 23,514 ", -   , -   , -   ," 23,514 "," 23,514 "," 23,514 ", -   , -   , -   ,"(23,514)",(100)%, -   , -   , -   , -   , -   , -   ,,,,,,,,,,,,,,,,,,,,
,5.3,??????????? - % ??????,%,0%,96%,96%,96%,96%,96%,96%,95%,0%,0%,0%,95%,95%,95%,0%,0%,0%,(95)%,(100)%,0%,0%,0%,0%,0%,0%,,,,,,,,,,,,,,,,,,,,
,5.4,??????????? - % ??????????,%,0%,4%,4%,4%,4%,4%,4%,5%,0%,0%,0%,5%,5%,5%,0%,0%,0%,(5)%,(100)%,0%,0%,0%,0%,0%,0%,,,,,,,,,,,,,,,,,,,,
,5.5,??????????? - ????????,???, -   ," 648,144 "," 630,944 "," 613,744 "," 648,144 "," 630,944 "," 613,744 "," 456,220 ", -   , -   , -   ," 456,220 "," 456,220 "," 456,220 ", -   , -   , -   ,"(456,220)",(100)%, -   , -   , -   , -   , -   , -   ,,,,,,,,,,,,,,,,,,,,
,5.6,??????????? - ??????           ????     ,???, -   ," 619,525 "," 603,185 "," 586,845 "," 619,525 "," 603,185 "," 586,845 "," 432,997 ",,,," 432,997 "," 432,997 "," 432,997 ",,,,"(432,997)",(100)%,,,,,,,????????,,,,,,,,,,,,,,,,,,,
,5.7,??????????? - ??????????      ????     ,???, -   ," 28,619 "," 27,759 "," 26,899 "," 28,619 "," 27,759 "," 26,899 "," 23,223 ",,,," 23,223 "," 23,223 "," 23,223 ",,,,"(23,223)",(100)%,,,,,,,????????,,,,,,,,,,,,,,,,,,,
,5.8,??????????? - % ??????        ????,%,0%,96%,96%,96%,96%,96%,96%,95%,0%,0%,0%,95%,95%,95%,0%,0%,0%,(95%),(100)%,0%,0%,0%,0%,0%,0%,,,,,,,,,,,,,,,,,,,,
,5.9,??????????? - % ??????????  ????,%,0%,4%,4%,4%,4%,4%,4%,5%,0%,0%,0%,5%,5%,5%,0%,0%,0%,(5%),(100)%,0%,0%,0%,0%,0%,0%,,,,,,,,,,,,,,,,,,,,
,5.10,??????????? - ???? Organic,???, -   ," 21,778 "," 21,778 "," 21,778 "," 21,778 "," 21,778 "," 21,778 "," 23,155 ", -   , -   , -   ," 23,155 "," 23,155 "," 23,155 ", -   , -   , -   ,"(23,155)",(100)%, -   , -   , -   , -   , -   , -   ,,,,,,,,,,,,,,,,,,,,
,5.11,??????????? - ??????  Organic    ,???, -   ," 21,778 "," 21,778 "," 21,778 "," 21,778 "," 21,778 "," 21,778 "," 22,865 ", -   , -   , -   ," 22,865 "," 22,865 "," 22,865 ", -   , -   , -   ,"-22,865",(100)%, -   , -   , -   , -   , -   , -   , ???????? ,,,,,,,,,,,,,,,,,,,
,5.12,??????????? - ??????????      Organic   ,???, -   , -   , -   , -   , -   , -   , -   , 291 , -   , -   , -   , 291 , 291 , 291 , -   , -   , -   ,-291,(100)%, -   , -   , -   , -   , -   , -   , ???????? ,,,,,,,,,,,,,,,,,,,
,5.13,??????????? - % ??????        Organic ,%,0%,100%,100%,100%,100%,100%,100%,99%,0%,0%,0%,99%,99%,99%,0%,0%,0%,(99%),(100)%,0%,0%,0%,0%,0%,0%,,,,,,,,,,,,,,,,,,,,
,5.14,??????????? - % ??????????  Organic ,%,0%,0%,0%,0%,0%,0%,0%,1%,0%,0%,0%,1%,1%,1%,0%,0%,0%,(1%),(100)%,0%,0%,0%,0%,0%,0%,,,,,,,,,,,,,,,,,,,,
